date,open,High,low,close,volume
6/18/2021,11.09000015,11.11999989,10.65600014,10.73999977,40186564
6/21/2021,10.69999981,10.86999989,10.56999969,10.76799965,13082155
6/22/2021,10.86999989,10.98600006,10.77200031,10.82400036,11133856
6/23/2021,10.85000038,11.05000019,10.84799957,10.85200024,14452618
6/24/2021,10.91600037,11.14400005,10.82600021,11.09799957,7312326
6/25/2021,11.16399956,11.18999958,11.02200031,11.05799961,5937378
6/28/2021,11.0539999,11.10000038,10.64999962,10.68200016,55580839
6/29/2021,10.68200016,10.85000038,10.62199974,10.68400002,7384897
6/30/2021,10.68000031,10.75199986,10.50800037,10.5539999,5075436
7/1/2021,10.65999985,10.86800003,10.6260004,10.72599983,20927369
7/2/2021,10.77000046,10.80799961,10.56000042,10.62800026,10806982
7/5/2021,10.44999981,10.44999981,10.10000038,10.38000011,3644531
7/6/2021,10.39999962,10.56000042,10.0340004,10.04800034,6495590
7/7/2021,10.10000038,10.32400036,9.862000465,9.954999924,7646689
7/8/2021,9.930000305,10.09599972,9.56499958,9.730999947,10741478
7/9/2021,9.772000313,9.876999855,9.600999832,9.847999573,6268091
7/12/2021,9.880000114,9.899999619,9.607000351,9.748999596,61950437
7/13/2021,9.800999641,9.828000069,9.522000313,9.569000244,9380434
7/14/2021,9.548999786,9.723999977,9.543000221,9.559000015,3989368
7/15/2021,9.5,9.501000404,9.232000351,9.324999809,19824005
7/16/2021,9.236000061,9.414999962,9.05700016,9.163999557,12462078
7/19/2021,9.126000404,9.126999855,8.727000237,8.758000374,9784304
7/20/2021,8.786000252,8.973999977,8.694000244,8.949999809,6135150
7/21/2021,8.98900032,9.282999992,8.920999527,9.248999596,7289108
7/22/2021,9.31000042,9.413999557,9.137000084,9.190999985,4908362
7/23/2021,9.270999908,9.354999542,9.130000114,9.184000015,3535421
7/26/2021,9.109000206,9.494999886,9.050000191,9.440999985,4162001
7/27/2021,9.461000443,9.461000443,9.255000114,9.437999725,4424139
7/28/2021,9.420000076,9.637000084,9.317000389,9.595999718,6567082
7/29/2021,9.657999992,9.812999725,9.361000061,9.493000031,10719279
7/30/2021,9.399999619,9.524999619,9.166000366,9.220999718,8266612
