No,Tanggal,Minggu,Harga Cabai Merah Keriting (Rp)
128,04/06/2023,Jun  2023 (II),"32,250"
129,11/06/2023,Jun  2023 (III),"32,250"
130,18/06/2023,Jun  2023 (IV),"41,700"
131,25/06/2023,Jul  2023 (I),"41,750"
132,02/07/2023,Jul  2023 (II),"34,650"
133,09/07/2023,Jul  2023 (III),"32,900"
134,16/07/2023,Jul  2023 (IV),"35,450"
135,23/07/2023,Jul  2023 (V),"36,250"
136,30/07/2023,Aug  2023 (I),"35,950"
137,06/08/2023,Aug  2023 (II),"39,050"
138,13/08/2023,Aug  2023 (III),"42,900"
139,20/08/2023,Aug  2023 (IV),"47,350"
140,27/08/2023,Sept 2023 (I),"38,250"
